Bird Name,Category
Boreal Chickadee,"Tits, Chickadees, and Titmice"
chickadee sp.,"Tits, Chickadees, and Titmice"
Eurasian Skylark,Larks
Horned Lark,Larks
Bank Swallow,Martins and Swallows
Tree Swallow,Martins and Swallows
Violet-green Swallow,Martins and Swallows
Tree/Violet-green Swallow,Martins and Swallows
Tachycineta sp.,Martins and Swallows
Purple Martin,Martins and Swallows
Northern Rough-winged Swallow,Martins and Swallows
Barn Swallow,Martins and Swallows
Cliff Swallow,Martins and Swallows
Violet-green x Cliff Swallow (hybrid),Martins and Swallows
Cave Swallow,Martins and Swallows
Cliff/Cave Swallow,Martins and Swallows
swallow sp.,Martins and Swallows
Yellow-browed Warbler,Leaf Warblers
Bushtit,Long-tailed Tits and Bushtit
Ruby-crowned Kinglet,Kinglets
Golden-crowned Kinglet,Kinglets
Ruby-crowned/Golden-crowned Kinglet,Kinglets
White-breasted Nuthatch,Nuthatches
Pygmy Nuthatch,Nuthatches
Red-breasted Nuthatch,Nuthatches
nuthatch sp.,Nuthatches
Brown Creeper,Treecreepers
Blue-gray Gnatcatcher,Gnatcatchers
Rock Wren,Wrens
Canyon Wren,Wrens
Northern House Wren,Wrens
Pacific Wren,Wrens
Winter Wren,Wrens
Pacific/Winter Wren,Wrens
Sedge Wren,Wrens
Marsh Wren,Wrens
Bewick's Wren,Wrens
wren sp.,Wrens
American Dipper,Dippers
European Starling,Starlings and Mynas
White-cheeked Starling,Starlings and Mynas
Crested Myna,Starlings and Mynas
Gray Catbird,"Catbirds, Mockingbirds, and Thrashers"
Brown Thrasher,"Catbirds, Mockingbirds, and Thrashers"
Sage Thrasher,"Catbirds, Mockingbirds, and Thrashers"
Northern Mockingbird,"Catbirds, Mockingbirds, and Thrashers"
mimid sp.,"Catbirds, Mockingbirds, and Thrashers"
Eastern Bluebird,Thrushes
Western Bluebird,Thrushes
Mountain Bluebird,Thrushes
bluebird sp.,Thrushes
Townsend's Solitaire,Thrushes
Varied Thrush,Thrushes
Veery,Thrushes
Gray-cheeked Thrush,Thrushes
Swainson's Thrush,Thrushes
Hermit Thrush,Thrushes
Catharus sp.,Thrushes
Wood Thrush,Thrushes
Redwing,Thrushes
Fieldfare,Thrushes
Dusky Thrush,Thrushes
American Robin,Thrushes
Varied Thrush/American Robin,Thrushes
thrush sp.,Thrushes
Red-flanked Bluetail,Old World Flycatchers
Taiga Flycatcher,Old World Flycatchers
Northern Wheatear,Old World Flycatchers
Bohemian Waxwing,Waxwings
Cedar Waxwing,Waxwings
Bohemian x Cedar Waxwing (hybrid),Waxwings
Bohemian/Cedar Waxwing,Waxwings
Zebra Finch,Estrildids
White-rumped Munia,Estrildids
Siberian Accentor,Accentors
House Sparrow,Old World Sparrows
Eurasian Tree Sparrow,Old World Sparrows
Eastern Yellow Wagtail,Wagtails and Pipits
Citrine Wagtail,Wagtails and Pipits
White Wagtail,Wagtails and Pipits
wagtail sp.,Wagtails and Pipits
Olive-backed Pipit,Wagtails and Pipits
Tree/Olive-backed Pipit,Wagtails and Pipits
Red-throated Pipit,Wagtails and Pipits
Siberian Pipit,Wagtails and Pipits
American Pipit,Wagtails and Pipits
Siberian/American Pipit,Wagtails and Pipits
Sprague's Pipit,Wagtails and Pipits
pipit sp.,Wagtails and Pipits
Brambling,"Finches, Euphonias, and Allies"
Evening Grosbeak,"Finches, Euphonias, and Allies"
Pine Grosbeak,"Finches, Euphonias, and Allies"
Eurasian Bullfinch,"Finches, Euphonias, and Allies"
Gray-crowned Rosy-Finch,"Finches, Euphonias, and Allies"
House Finch,"Finches, Euphonias, and Allies"
Purple Finch,"Finches, Euphonias, and Allies"
House/Purple Finch,"Finches, Euphonias, and Allies"
Cassin's Finch,"Finches, Euphonias, and Allies"
Purple/Cassin's Finch,"Finches, Euphonias, and Allies"
Haemorhous sp.,"Finches, Euphonias, and Allies"
Oriental Greenfinch,"Finches, Euphonias, and Allies"
Redpoll,"Finches, Euphonias, and Allies"
Red Crossbill,"Finches, Euphonias, and Allies"
White-winged Crossbill,"Finches, Euphonias, and Allies"
crossbill sp.,"Finches, Euphonias, and Allies"
European Goldfinch,"Finches, Euphonias, and Allies"
Pine Siskin,"Finches, Euphonias, and Allies"
Lesser Goldfinch,"Finches, Euphonias, and Allies"
American Goldfinch,"Finches, Euphonias, and Allies"
Pine Siskin x American Goldfinch (hybrid),"Finches, Euphonias, and Allies"
new world goldfinch sp.,"Finches, Euphonias, and Allies"
Spinus sp.,"Finches, Euphonias, and Allies"
Acanthis/Spinus sp.,"Finches, Euphonias, and Allies"
finch sp.,"Finches, Euphonias, and Allies"
Lapland Longspur,Longspurs and Snow Buntings
Chestnut-collared Longspur,Longspurs and Snow Buntings
Smith's Longspur,Longspurs and Snow Buntings
Thick-billed Longspur,Longspurs and Snow Buntings
longspur sp.,Longspurs and Snow Buntings
Snow Bunting,Longspurs and Snow Buntings
McKay's Bunting,Longspurs and Snow Buntings
Snow/McKay's Bunting,Longspurs and Snow Buntings
Pine Bunting,Old World Buntings
Pallas's Bunting,Old World Buntings
Pallas's/Reed Bunting,Old World Buntings
Little Bunting,Old World Buntings
Rustic Bunting,Old World Buntings
Grasshopper Sparrow,New World Sparrows
Chipping Sparrow,New World Sparrows
Clay-colored Sparrow,New World Sparrows
Field Sparrow,New World Sparrows
Brewer's Sparrow,New World Sparrows
Spizella sp.,New World Sparrows
Black-throated Sparrow,New World Sparrows
Lark Sparrow,New World Sparrows
Lark Bunting,New World Sparrows
American Tree Sparrow,New World Sparrows
Spizella sp./American Tree Sparrow,New World Sparrows
Fox Sparrow,New World Sparrows
Dark-eyed Junco,New World Sparrows
White-crowned Sparrow,New World Sparrows
Golden-crowned Sparrow,New World Sparrows
White-crowned x Golden-crowned Sparrow (hybrid),New World Sparrows
Harris's Sparrow,New World Sparrows
White-throated Sparrow,New World Sparrows
White-crowned x White-throated Sparrow (hybrid),New World Sparrows
Golden-crowned x White-throated Sparrow (hybrid),New World Sparrows
Dark-eyed Junco x White-throated Sparrow (hybrid),New World Sparrows
White-crowned/White-throated Sparrow,New World Sparrows
Zonotrichia sp.,New World Sparrows
Sagebrush Sparrow,New World Sparrows
Vesper Sparrow,New World Sparrows
LeConte's Sparrow,New World Sparrows
Nelson's Sparrow,New World Sparrows
Savannah Sparrow,New World Sparrows
Song Sparrow,New World Sparrows
Lincoln's Sparrow,New World Sparrows
Swamp Sparrow,New World Sparrows
Song x Swamp Sparrow (hybrid),New World Sparrows
Lincoln's/Swamp Sparrow,New World Sparrows
Green-tailed Towhee,New World Sparrows
Spotted Towhee,New World Sparrows
Spotted/Eastern Towhee (Rufous-sided Towhee),New World Sparrows
new world sparrow sp.,New World Sparrows
Yellow-breasted Chat,Yellow-breasted Chat
Yellow-headed Blackbird,Blackbirds
Bobolink,Blackbirds
Western Meadowlark,Blackbirds
Orchard Oriole,Blackbirds
Hooded Oriole,Blackbirds
Bullock's Oriole,Blackbirds
Baltimore Oriole,Blackbirds
Bullock's x Baltimore Oriole (hybrid),Blackbirds
Bullock's/Baltimore Oriole,Blackbirds
Red-winged Blackbird,Blackbirds
Brown-headed Cowbird,Blackbirds
Rusty Blackbird,Blackbirds
Brewer's Blackbird,Blackbirds
Rusty/Brewer's Blackbird,Blackbirds
Common Grackle,Blackbirds
Great-tailed Grackle,Blackbirds
blackbird sp.,Blackbirds
Ovenbird,Wood-Warblers
Northern Waterthrush,Wood-Warblers
Golden-winged Warbler,Wood-Warblers
Black-and-white Warbler,Wood-Warblers
Prothonotary Warbler,Wood-Warblers
Tennessee Warbler,Wood-Warblers
Orange-crowned Warbler,Wood-Warblers
Lucy's Warbler,Wood-Warblers
Nashville Warbler,Wood-Warblers
Connecticut Warbler,Wood-Warblers
MacGillivray's Warbler,Wood-Warblers
Mourning Warbler,Wood-Warblers
MacGillivray's x Mourning Warbler (hybrid),Wood-Warblers
MacGillivray's/Mourning Warbler,Wood-Warblers
Common Yellowthroat,Wood-Warblers
Hooded Warbler,Wood-Warblers
American Redstart,Wood-Warblers
Cape May Warbler,Wood-Warblers
Northern Parula,Wood-Warblers
Magnolia Warbler,Wood-Warblers
Bay-breasted Warbler,Wood-Warblers
Blackburnian Warbler,Wood-Warblers
Northern Yellow Warbler,Wood-Warblers
Chestnut-sided Warbler,Wood-Warblers
Blackpoll Warbler,Wood-Warblers
Black-throated Blue Warbler,Wood-Warblers
Palm Warbler,Wood-Warblers
Pine Warbler,Wood-Warblers
Yellow-rumped Warbler,Wood-Warblers
Yellow-throated Warbler,Wood-Warblers
Prairie Warbler,Wood-Warblers
Black-throated Gray Warbler,Wood-Warblers
Townsend's Warbler,Wood-Warblers
Black-throated Gray x Townsend's Warbler (hybrid),Wood-Warblers
Black-throated Gray/Townsend's Warbler,Wood-Warblers
Hermit Warbler,Wood-Warblers
Townsend's x Hermit Warbler (hybrid),Wood-Warblers
Townsend's/Hermit Warbler,Wood-Warblers
Black-throated Green Warbler,Wood-Warblers
Townsend's x Black-throated Green Warbler (hybrid),Wood-Warblers
Setophaga sp.,Wood-Warblers
Canada Warbler,Wood-Warblers
Wilson's Warbler,Wood-Warblers
Painted Redstart,Wood-Warblers
new world warbler sp.,Wood-Warblers
Summer Tanager,"Cardinals, Grosbeaks, and Allies"
Scarlet Tanager,"Cardinals, Grosbeaks, and Allies"
Western Tanager,"Cardinals, Grosbeaks, and Allies"
tanager sp. (Piranga sp.),"Cardinals, Grosbeaks, and Allies"
Northern Cardinal,"Cardinals, Grosbeaks, and Allies"
Rose-breasted Grosbeak,"Cardinals, Grosbeaks, and Allies"
Black-headed Grosbeak,"Cardinals, Grosbeaks, and Allies"
Rose-breasted x Black-headed Grosbeak (hybrid),"Cardinals, Grosbeaks, and Allies"
Rose-breasted/Black-headed Grosbeak,"Cardinals, Grosbeaks, and Allies"
Pheucticus sp.,"Cardinals, Grosbeaks, and Allies"
Blue Grosbeak,"Cardinals, Grosbeaks, and Allies"
Lazuli Bunting,"Cardinals, Grosbeaks, and Allies"
Indigo Bunting,"Cardinals, Grosbeaks, and Allies"
Lazuli x Indigo Bunting (hybrid),"Cardinals, Grosbeaks, and Allies"
Lazuli/Indigo Bunting,"Cardinals, Grosbeaks, and Allies"
Painted Bunting,"Cardinals, Grosbeaks, and Allies"
Passerina sp.,"Cardinals, Grosbeaks, and Allies"
Dickcissel,"Cardinals, Grosbeaks, and Allies"
Saffron Finch,Tanagers and Allies
passerine sp.,Others
bird sp.,Others
